feature,importance
reward_intensity,104
tokens_reward,99
co2_x_energy,97
energy_x_tokens,96
co2_potential,84
tokens_per_co2,83
green_consciousness,81
vehicle_emission_factor,65
token_roi,64
difficulty_success,27
mission_difficulty_encoded,23
suv_impact,18
mission_category_encoded,17
volatility,16
difficulty_weight,9
ac_ratio,5
effort_reward_ratio,3
avg_energy_30d,3
consistency_score,2
peak_ratio,2
bedrooms,1
vehicle_fuel_encoded,1
days_active,0
completion_rate,0
avg_energy_7d,0
volatility_score,0
ac_intensity,0
peak_to_avg,0
energy_per_room,0
energy_per_bedroom,0
emirate_encoded,0
home_type_encoded,0
vehicle_type_encoded,0
day_of_week,0
hour,0
is_weekend,0
token_velocity,0
bedrooms_x_ac,0
token_velocity_scaled,0
peak_x_ac,0
token_efficiency,0
mission_momentum,0
engagement_score,0
tokens_x_completion,0
volatility_x_peak,0
energy_x_completion,0
activity_density,0
is_morning,0
user_experience,0
cos_hour,0
sin_hour,0
is_night,0
is_evening,0
is_afternoon,0
fuel_efficiency_score,0
sin_day,0
cos_day,0
